date,category,sub-category,description,amount
2021-02-10,Discretionary Spending,Work Lunch & Takeout,Suzuki,37.2
2021-02-10,Discretionary Spending,Work Lunch & Takeout,Dunkin Donuts,2.93
2021-02-08,Living Expense,Groceries,Grocery Store,38.84
2021-02-08,Discretionary Spending,Work Lunch & Takeout,Dunkin Donuts,1.4
2021-02-08,Discretionary Spending,Shopping,Amazon,5.87
2021-02-06,Discretionary Spending,Shopping,Amazon,4.11
2021-02-05,Discretionary Spending,Work Lunch & Takeout,CHINA JADE  ,55.84
2021-02-05,Discretionary Spending,Liquor Store,Wine & Spirits,92.07
2021-02-05,Discretionary Spending,Shopping,Amazon,25.88
2021-02-03,Discretionary Spending,Liquor Store,#NAME?,7.42
2021-02-03,Discretionary Spending,Subscriptions,Amazon web services,1.04
2021-02-03,Occasional Expense,Furniture,Crandall - Office Chair,539.0
2021-02-02,Savings,Investment - Source 2,XYZ Financial Firm,500.0
2021-02-02,Discretionary Spending,Shopping,Amazon,107.44
2021-02-01,Savings,Investment - Source 2,XYZ Financial Firm,500.0
2021-02-01,Discretionary Spending,Subscriptions,PayPal,4.99
2021-01-31,Discretionary Spending,Liquor Store,#NAME?,9.56
2021-01-30,Living Expense,Groceries,Grocery Store,238.08
2021-01-29,Discretionary Spending,Work Lunch & Takeout,Dunkin Donuts,2.93
2021-01-28,Discretionary Spending,Liquor Store,#NAME?,10.58
2021-01-28,Discretionary Spending,Subscriptions,Spotify,15.94
2021-01-28,Savings,Investment - Source 1,XYZ Financial Firm,500.0
2021-01-27,Discretionary Spending,Work Lunch & Takeout,Café,9.2
2021-01-27,Discretionary Spending,Work Lunch & Takeout,Enthaice Thai Kitchen,28.85
2021-01-27,Discretionary Spending,Clothing,Nordstrom,37.42
2021-01-27,Monthly Bills,Mobile Phone,Verizon Wireless,84.16
2021-01-26,Living Expense,Groceries,Grocery Store,13.22
2021-01-26,Living Expense,Transportation,METROCARD,20.0
2021-01-25,Living Expense,Transportation,Uber.com,7.96
2021-01-25,Discretionary Spending,Subscriptions,MEDIUM MONTHLY,5.0
2021-01-25,Discretionary Spending,Shopping,Amazon,29.25
2021-01-24,Discretionary Spending,Liquor Store,#NAME?,7.49
2021-01-23,Discretionary Spending,Work Lunch & Takeout,GrubHub,62.24
2021-01-22,Discretionary Spending,Personal Care,Hair Salon,12.02
2021-01-22,Discretionary Spending,Restaurants,LAS CATRINAS MEXICAN BAR  ,47.04
2021-01-21,Living Expense,Transportation,METROCARD,20.0
2021-01-20,Discretionary Spending,Liquor Store,#NAME?,5.32
2021-01-20,Monthly Bills,Internet,Verizon,39.99
2021-01-19,Discretionary Spending,Goods,IKEA,69.63
2021-01-17,Discretionary Spending,Subscriptions,CRUNCHYROLL,8.49
2021-01-17,Discretionary Spending,Liquor Store,Cork by Harrison Path,23.45
2021-01-15,Living Expense,Transportation,METROCARD,40.0
2021-01-15,Discretionary Spending,Work Lunch & Takeout,Dunkin Donuts,4.33
2021-01-14,Discretionary Spending,Liquor Store,#NAME?,9.65
2021-01-13,Occasional Expense,Electronics,DRI*LOGITECH STORE ORDERFIND.COM MN,141.53
2021-01-12,Discretionary Spending,Shopping,Amazon,42.99
2021-01-12,Monthly Bills,Utilities,ConEd,95.28
2021-01-11,Discretionary Spending,Shopping,Amazon,23.99
2021-01-10,Discretionary Spending,Restaurants,GrubHub,46.2
2021-01-10,Living Expense,Groceries,Grocery Store,266.45
2021-01-10,Discretionary Spending,Goods,Home Depot,12.11
2021-01-08,Discretionary Spending,Restaurants,The Little Beet,29.83
2021-01-08,Discretionary Spending,Shopping,Amazon,12.99
2021-01-08,Discretionary Spending,Shopping,Amazon,33.51
2021-01-07,Living Expense,Medical & Health,Duane Reade,3.04
2021-01-06,Living Expense,Transportation,METROCARD,40.0
2021-01-06,Savings,Investment - Source 1,XYZ Financial Firm,500.0
2021-01-06,Discretionary Spending,Liquor Store,Wine & Spirits,25.76
2021-01-05,Occasional Expense,Home Insurance,State Farm,157.44
2021-01-05,Discretionary Spending,Shopping,Amazon,5.75
2021-01-04,Discretionary Spending,Work Lunch & Takeout,Suzuki,11.15
2021-01-04,Discretionary Spending,Work Lunch & Takeout,JOLLIBEE WOODSIDE WOODSIDE ,42.45
2021-01-04,Living Expense,Groceries,Grocery Store,13.16
2021-01-04,Living Expense,Groceries,Grocery Store,66.22
2021-01-04,Discretionary Spending,Subscriptions,PayPal,4.99
2021-01-04,Discretionary Spending,Subscriptions,PayPal,5.0
2021-01-03,Discretionary Spending,Liquor Store,#NAME?,3.98
2021-01-02,Discretionary Spending,Subscriptions,Amazon web services,1.05
2021-01-02,Discretionary Spending,Work Lunch & Takeout,King of Falafel & Shawarma,29.12
2020-12-31,Living Expense,Medical & Health,Eye Care,464.0
2020-12-30,Discretionary Spending,Shopping,Amazon,42.38
2020-12-30,Discretionary Spending,Work Lunch & Takeout,Mealpal ,48.28
2020-12-30,Monthly Bills,Mobile Phone,Verizon Wireless,84.04
2020-12-29,Living Expense,Groceries,Grocery Store,53.66
2020-12-29,Discretionary Spending,Work Lunch & Takeout,COPA CABANA PIZZA AND GRI ,39.31
2020-12-28,Discretionary Spending,Work Lunch & Takeout,Suzuki,36.15
2020-12-28,Living Expense,Transportation,Lyft,27.57
2020-12-28,Discretionary Spending,Liquor Store,Wine & Spirits,34.82
2020-12-28,Living Expense,Transportation,Lyft,27.76
2020-12-28,Discretionary Spending,Subscriptions,Spotify,15.94
2020-12-28,Discretionary Spending,Work Lunch & Takeout,Gourmet Deli,4.16
2020-12-28,Discretionary Spending,Work Lunch & Takeout,CHICKEN INSIDER ,26.32
2020-12-27,Living Expense,Groceries,Grocery Store,9.51
2020-12-27,Discretionary Spending,Work Lunch & Takeout,Pho Shop,16.68
2020-12-27,Discretionary Spending,Subscriptions,MEDIUM MONTHLY,5.0
2020-12-26,Discretionary Spending,Restaurants,CORNER BAKERY,17.94
2020-12-24,Discretionary Spending,Work Lunch & Takeout,MEALPAL MEALPAL.COM ,48.28
2020-12-21,Occasional Expense,Gift,Fossil,148.5
2020-12-21,Discretionary Spending,Work Lunch & Takeout,"WOK  ON THIRD,  ",24.3
2020-12-20,Monthly Bills,Internet,SPECTRUM WOODSIDE ,49.99
2020-12-20,Discretionary Spending,Work Lunch & Takeout,Burgerfi,32.13
2020-12-19,Discretionary Spending,Shopping,Amazon,168.75
2020-12-19,Discretionary Spending,Goods,Home Depot,17.65
2020-12-19,Discretionary Spending,Work Lunch & Takeout,Krispy Kreme,4.48
2020-12-18,Discretionary Spending,Work Lunch & Takeout,Gourmet Deli,5.64
2020-12-18,Living Expense,Medical & Health,Eye Care,109.0
2020-12-18,Discretionary Spending,Subscriptions,CRUNCHYROLL,8.49
2020-12-18,Discretionary Spending,Liquor Store,Wine & Spirits,30.46
2020-12-16,Savings,Investment - Source 1,XYZ Financial Firm,500.0
2020-12-16,Monthly Bills,Utilities,ConEd,112.46
2020-12-15,Discretionary Spending,Work Lunch & Takeout,CHINA JADE  ,41.81
2020-12-15,Living Expense,Groceries,Grocery Store,98.83
2020-12-14,Discretionary Spending,Work Lunch & Takeout,Domino's Pizza,14.13
2020-12-14,Discretionary Spending,Work Lunch & Takeout,Gourmet Deli,6.24
2020-12-13,Discretionary Spending,Work Lunch & Takeout,"Spice Grill, ",40.36
2020-12-12,Living Expense,Groceries,Grocery Store,8.92
2020-12-12,Discretionary Spending,Shopping,Amazon,11.45
2020-12-11,Living Expense,Groceries,Grocery Store,36.01
2020-12-10,Discretionary Spending,Work Lunch & Takeout,TACOS & TEQUILA ,36.85
2020-12-10,Living Expense,Medical & Health,Ear Nose & Throat,10.32
2020-12-10,Savings,Investment - Source 1,XYZ Financial Firm,500.0
2020-12-09,Living Expense,Laundromat,Landromat,39.05
2020-12-09,Living Expense,Laundromat,Kingbell Cleaners & Laundry,30.0
2020-12-08,Discretionary Spending,Work Lunch & Takeout,Domino's Pizza,43.76
2020-12-05,Living Expense,Groceries,Grocery Store,78.98
2020-12-05,Living Expense,Medical & Health,CVS,9.99
2020-12-05,Discretionary Spending,Work Lunch & Takeout,CHINA JADE  ,49.13
2020-12-03,Discretionary Spending,Work Lunch & Takeout,Ollies To Go,53.16
2020-12-03,Discretionary Spending,Subscriptions,Amazon web services,1.04
2021-08-01,Monthly Bills,Rent,Check Piad,2000.0
2021-07-01,Monthly Bills,Rent,Check Piad,2000.0
2021-06-01,Monthly Bills,Rent,Check Piad,2000.0
2021-05-01,Monthly Bills,Rent,Check Piad,2000.0
2021-04-01,Monthly Bills,Rent,Check Piad,2000.0
2021-03-01,Monthly Bills,Rent,Check Piad,2000.0
2021-02-01,Monthly Bills,Rent,Check Piad,2000.0
2021-01-01,Monthly Bills,Rent,Check Piad,2000.0
2020-12-01,Monthly Bills,Rent,Check Piad,2000.0
2020-12-02,Discretionary Spending,Subscriptions,PayPal,4.99
2020-12-01,Discretionary Spending,Work Lunch & Takeout,Café,7.2
2020-12-01,Discretionary Spending,Work Lunch & Takeout,KRUA SIAM INC   ,32.38
2020-12-01,Discretionary Spending,Work Lunch & Takeout,MEALPAL MEALPAL.COM ,48.28
2020-11-30,Living Expense,Groceries,Grocery Store,28.82
2020-11-30,Discretionary Spending,Clothing,Nordstrom,146.17
2020-11-30,Discretionary Spending,Clothing,Abercrombie & Fitch,47.4
2020-11-30,Monthly Bills,Mobile Phone,Verizon Wireless,84.04
2020-11-29,Living Expense,Transportation,Wawa,24.0
2020-11-29,Living Expense,Transportation,Uber.com,9.76
2020-11-28,Discretionary Spending,Subscriptions,Spotify,15.94
2020-11-27,Discretionary Spending,Work Lunch & Takeout,Schmackarys,35.0
2020-11-27,Living Expense,Medical & Health,CVS,7.68
2020-11-25,Living Expense,Medical & Health,CVS,13.39
2020-11-25,Discretionary Spending,Subscriptions,MEDIUM MONTHLY,5.0
2020-11-24,Discretionary Spending,Clothing,Express,34.8
2020-11-24,Discretionary Spending,Liquor Store,Wine & Spirits,37.04
2020-11-24,Discretionary Spending,Work Lunch & Takeout,Bistro,7.59
2020-11-24,Discretionary Spending,Work Lunch & Takeout,Xi'an Famous Foods,29.69
2020-11-24,Occasional Expense,Service Fee,Wire Fee,20.0
2020-11-23,Discretionary Spending,Work Lunch & Takeout,Café,10.25
2020-11-22,Living Expense,Groceries,Grocery Store,29.11
2020-11-22,Discretionary Spending,Work Lunch & Takeout,The Bagel Mill,11.61
2020-11-21,Living Expense,Home Supplies,Target,25.93
2020-11-20,Monthly Bills,Internet,SPECTRUM WOODSIDE ,49.99
2020-11-20,Living Expense,Home Supplies,Target,15.11
2020-11-20,Living Expense,Medical & Health,Dentist,148.5
2020-11-20,Discretionary Spending,Shopping,Amazon,39.83
2020-11-20,Discretionary Spending,Shopping,Amazon,7.1
2020-11-19,Discretionary Spending,Work Lunch & Takeout,Pizzeria,27.0
2020-11-19,Living Expense,Home Supplies,Target,43.53
2020-11-19,Discretionary Spending,Shopping,Amazon,39.95
2020-11-18,Discretionary Spending,Subscriptions,CRUNCHYROLL,8.49
2020-11-18,Occasional Expense,Service Fee,Application Fee,20.0
2020-11-18,Occasional Expense,Service Fee,Application Fee,20.0
2020-11-18,Discretionary Spending,Work Lunch & Takeout,Café,10.25
2020-11-18,Discretionary Spending,Work Lunch & Takeout,Bistro,10.34
2020-11-18,Discretionary Spending,Work Lunch & Takeout,"Spice Grill, ",18.97
2020-11-18,Discretionary Spending,Restaurants,Arriba Arriba Mexican Rest,66.46
2020-11-17,Living Expense,Groceries,Grocery Store,85.37
2020-11-16,Living Expense,Laundromat,Landromat,32.75
2020-11-16,Discretionary Spending,Subscriptions,JAGEX,25.99
2020-11-15,Discretionary Spending,Liquor Store,Wine & Spirits,36.02
2020-11-15,Living Expense,Transportation,Uber.com,24.95
2020-11-15,Living Expense,Transportation,Uber.com,3.0
2020-11-15,Living Expense,Transportation,Uber.com,11.72
2020-11-14,Discretionary Spending,Work Lunch & Takeout,Ollies To Go,50.74
2020-11-13,Discretionary Spending,Liquor Store,Wine & Spirits,120.0
2020-11-13,Monthly Bills,Utilities,ConEd,102.36
2020-11-11,Discretionary Spending,Work Lunch & Takeout,"WOK  ON THIRD,  ",21.25
2020-11-10,Savings,Investment - Source 2,XYZ Financial Firm,500.0
2020-11-10,Savings,Investment - Source 1,XYZ Financial Firm,500.0
2020-11-09,Living Expense,Groceries,Grocery Store,27.41
2020-11-08,Living Expense,Groceries,Grocery Store,15.99
2020-11-08,Living Expense,Transportation,Uber.com,14.02
2020-11-07,Living Expense,Groceries,Grocery Store,64.46
2020-11-07,Discretionary Spending,Restaurants,SAKE KAWA.   ,56.45
2020-11-04,Occasional Expense,Vacation,Venmo,30.0
2020-11-03,Living Expense,Groceries,Grocery Store,139.42
2020-11-03,Discretionary Spending,Work Lunch & Takeout,CHICKEN INSIDER ,14.05
2020-11-03,Discretionary Spending,Work Lunch & Takeout,Bistro,5.72
2020-11-03,Discretionary Spending,Work Lunch & Takeout,Café,7.2
2020-11-03,Discretionary Spending,Subscriptions,Amazon web services,1.04
2020-11-03,Discretionary Spending,Subscriptions,Amazon web services,5.68
2020-11-03,Savings,Investment - Source 1,XYZ Financial Firm,500.0
2020-11-03,Discretionary Spending,Shopping,Amazon,36.97
2020-11-03,Discretionary Spending,Clothing,Express,24.0
2020-11-02,Discretionary Spending,Work Lunch & Takeout,"Spice Grill, ",17.83
2020-11-02,Discretionary Spending,Subscriptions,PayPal,4.99
2020-11-01,Monthly Bills,Rent,Check Piad,2000.0
2020-11-01,Occasional Expense,Vacation,FLIXBUSUS LOS ANGELES,52.23
2020-11-01,Discretionary Spending,Work Lunch & Takeout,Pho Shop,31.4
2020-10-28,Discretionary Spending,Subscriptions,Spotify,15.94
2020-10-28,Discretionary Spending,Liquor Store,Wine & Spirits,20.16
2020-10-28,Monthly Bills,Mobile Phone,Verizon Wireless,84.04
2020-10-27,Living Expense,Transportation,METROCARD,3.0
2020-10-27,Discretionary Spending,Work Lunch & Takeout,Xi'an Famous Foods,33.36
2020-10-27,Discretionary Spending,Work Lunch & Takeout,Dunkin Donuts,6.5
2020-10-27,Discretionary Spending,Clothing,Express,34.8
2020-10-26,Living Expense,Laundromat,Landromat,26.45
2020-10-26,Discretionary Spending,Work Lunch & Takeout,"WOK  ON THIRD,  ",21.15
2020-10-26,Discretionary Spending,Shopping,Amazon,25.91
2020-10-25,Discretionary Spending,Work Lunch & Takeout,CORNER BAKERY,19.0
2020-10-25,Discretionary Spending,Work Lunch & Takeout,CHICKEN INSIDER ,29.36
2020-10-25,Discretionary Spending,Subscriptions,MEDIUM MONTHLY,5.0
2020-10-24,Living Expense,Medical & Health,CVS,2.65
2020-10-24,Discretionary Spending,Restaurants,House of Que,158.55
2020-10-24,Discretionary Spending,Work Lunch & Takeout,CHICKEN INSIDER ,9.79
2020-10-24,Discretionary Spending,Work Lunch & Takeout,Levain Bakery,8.0
2020-10-22,Discretionary Spending,Subscriptions,BLINK    ,95.2
2020-10-21,Discretionary Spending,Work Lunch & Takeout,"Spice Grill, ",18.97
2020-10-21,Discretionary Spending,Work Lunch & Takeout,Taco Bell,19.35
2020-10-21,Discretionary Spending,Clothing,Express,72.79
2020-10-21,Discretionary Spending,Shopping,Amazon,36.97
2020-10-21,Discretionary Spending,Shopping,Amazon,12.07
2020-10-21,Discretionary Spending,Shopping,Amazon,54.96
2020-10-20,Discretionary Spending,Subscriptions,CRUNCHYROLL,8.49
2020-10-20,Monthly Bills,Internet,SPECTRUM WOODSIDE ,49.99
2020-10-19,Discretionary Spending,Work Lunch & Takeout,Bistro,11.43
2020-10-19,Discretionary Spending,Work Lunch & Takeout,"WOK  ON THIRD,  ",21.15
2020-10-19,Discretionary Spending,Subscriptions,PayPal,10.89
2020-10-19,Savings,Investment - Source 1,XYZ Financial Firm,500.0
2020-10-19,Savings,Investment - Source 2,XYZ Financial Firm,500.0
2020-10-17,Discretionary Spending,Work Lunch & Takeout,Dunkin Donuts,7.29
2020-10-15,Discretionary Spending,Clothing,Express,19.99
2020-10-15,Monthly Bills,Utilities,ConEd,120.77
2020-10-14,Discretionary Spending,Clothing,Express,111.6
2020-10-13,Living Expense,Groceries,Grocery Store,62.72
2020-10-13,Discretionary Spending,Work Lunch & Takeout,Bistro,11.43
2020-10-13,Discretionary Spending,Work Lunch & Takeout,Domino's Pizza,23.92
2020-10-13,Discretionary Spending,Clothing,Old Navy,59.98
2020-10-13,Discretionary Spending,Entertainment,Steam Games,5.32
2020-10-12,Discretionary Spending,Work Lunch & Takeout,Bistro,11.43
2020-10-11,Discretionary Spending,Restaurants,BARKING DOG ,49.54
2020-10-11,Discretionary Spending,Work Lunch & Takeout,MACAO IMPERIAL TEA ,5.99
2020-10-11,Discretionary Spending,Subscriptions,Amazon web services,11.94
2020-10-11,Living Expense,Transportation,Uber.com,22.0
2020-10-10,Discretionary Spending,Liquor Store,Wine & Spirits,13.11
2020-10-10,Discretionary Spending,Work Lunch & Takeout,CORNER BAKERY,17.31
2020-10-09,Discretionary Spending,Personal Care,Hair Salon,54.44
2020-10-09,Discretionary Spending,Work Lunch & Takeout,Ollies To Go,14.1
2020-10-09,Discretionary Spending,Work Lunch & Takeout,Pizza City Corp.,7.0
2020-10-09,Discretionary Spending,Work Lunch & Takeout,Ollies To Go,32.61
2020-10-09,Living Expense,Medical & Health,CVS,9.8
2020-10-08,Living Expense,ATM Fee,ATM Fee Reimbursement,6.0
2020-10-08,Discretionary Spending,Entertainment,Steam Games,5.32
2020-10-06,Discretionary Spending,Work Lunch & Takeout,"WOK  ON THIRD,  ",20.15
2020-10-05,Discretionary Spending,Clothing,DSW Designer Shoe Warehouse,54.96
2020-10-04,Living Expense,Groceries,Grocery Store,24.7
2020-10-04,Living Expense,Laundromat,Landromat,27.5
2020-10-03,Discretionary Spending,Subscriptions,Amazon web services,1.04
2020-10-03,Discretionary Spending,Work Lunch & Takeout,CORRADO BAKERY ,9.0
2020-10-03,Discretionary Spending,Subscriptions,Amazon web services,0.33
2020-10-02,Discretionary Spending,Work Lunch & Takeout,Chick-Fil-A,10.1
2020-10-01,Monthly Bills,Rent,Check Piad,2000.0
2020-10-02,Discretionary Spending,Shopping,Amazon,43.54
2020-10-01,Discretionary Spending,Restaurants,PIG HEAVEN ,60.01
2020-10-01,Discretionary Spending,Subscriptions,BLINK MOTO    ,28.22
2020-10-01,Discretionary Spending,Subscriptions,PayPal,4.99
2020-09-30,Living Expense,Medical & Health,CVS,3.79
2020-09-29,Discretionary Spending,Subscriptions,PayPal,39.95
2020-09-29,Savings,Investment - Source 1,XYZ Financial Firm,500.0
2020-09-29,Savings,Investment - Source 2,XYZ Financial Firm,500.0
2020-09-29,Monthly Bills,Mobile Phone,Verizon Wireless,84.0
2020-09-28,Discretionary Spending,Subscriptions,Spotify,15.94
2020-09-28,Living Expense,Groceries,Grocery Store,84.51
2020-09-28,Living Expense,Transportation,Uber.com,14.82
2020-09-28,Living Expense,Transportation,Uber.com,10.0
2020-09-28,Discretionary Spending,Work Lunch & Takeout,Williamsburg Pizza II ,33.03
2020-09-27,Discretionary Spending,Subscriptions,MEDIUM MONTHLY,5.0
2020-09-26,Discretionary Spending,Work Lunch & Takeout,JOLLIBEE  ,11.42
2020-09-25,Discretionary Spending,Work Lunch & Takeout,"Spice Grill, ",8.92
2020-09-25,Discretionary Spending,Work Lunch & Takeout,Maki Maki,4.36
2020-09-25,Discretionary Spending,Work Lunch & Takeout,Dunkin Donuts,3.18
2020-09-24,Living Expense,Medical & Health,CVS,2.06
2020-09-24,Discretionary Spending,Work Lunch & Takeout,Café,1.95
2020-09-24,Occasional Expense,Gift,Amazon,137.55
2020-09-23,Discretionary Spending,Shopping,Amazon,56.23
2020-09-22,Discretionary Spending,Work Lunch & Takeout,Bistro,10.34
2020-09-21,Living Expense,Groceries,Grocery Store,58.84
2020-09-21,Occasional Expense,Service Fee,MONTCLAIR PARKING - ITS,1.5
2020-09-21,Discretionary Spending,Liquor Store,Wine & Spirits,15.92
2020-09-21,Discretionary Spending,Work Lunch & Takeout,Café,1.0
2020-09-21,Discretionary Spending,Work Lunch & Takeout,Café,9.25
2020-09-21,Discretionary Spending,Work Lunch & Takeout,"Spice Grill, ",22.95
2020-09-20,Living Expense,Medical & Health,CVS,7.29
2020-09-20,Monthly Bills,Internet,SPECTRUM WOODSIDE ,49.99
2020-09-19,Occasional Expense,Vacation,Skydiving,1020.0
2020-09-19,Discretionary Spending,Liquor Store,Shop Rite,57.54
2020-09-19,Living Expense,Medical & Health,CVS,12.07
2020-09-19,Discretionary Spending,Subscriptions,CRUNCHYROLL,8.49
2020-09-19,Discretionary Spending,Restaurants,AOZORA MONTCLAIR ,82.91
2020-09-19,Discretionary Spending,Work Lunch & Takeout,Gong Cha,5.33
2020-09-19,Living Expense,ATM Fee,ATM Fee,3.0
2020-09-18,Discretionary Spending,Work Lunch & Takeout,Taco Dumbo,9.8
2020-09-18,Discretionary Spending,Work Lunch & Takeout,"WOK  ON THIRD,  ",11.35
2020-09-16,Discretionary Spending,Shopping,Amazon,43.54
2020-09-15,Discretionary Spending,Subscriptions,BLINK MOTO    ,27.27
2020-09-15,Discretionary Spending,Work Lunch & Takeout,CHICKEN INSIDER ,14.35
2020-09-15,Discretionary Spending,Shopping,Amazon,10.67
2020-09-15,Monthly Bills,Utilities,ConEd,155.93
2020-09-14,Discretionary Spending,Work Lunch & Takeout,KRUA SIAM INC   ,14.1
2020-09-13,Living Expense,Transportation,RARITAN RARITAN ,15.25
2020-09-13,Living Expense,Groceries,Grocery Store,55.04
2020-09-13,Living Expense,Laundromat,Landromat,24.35
2020-09-11,Discretionary Spending,Restaurants,UDON LAB  ,82.77
2020-09-10,Savings,Investment - Source 2,XYZ Financial Firm,500.0
2020-09-08,Living Expense,Groceries,Grocery Store,93.11
2020-09-08,Discretionary Spending,Work Lunch & Takeout,"WOK  ON THIRD,  ",22.7
2020-09-08,Living Expense,ATM Fee,ATM Fee Reimbursement,1.0
2020-09-07,Discretionary Spending,Work Lunch & Takeout,Taco Bell,15.87
2020-09-06,Discretionary Spending,Restaurants,Agora Turkish Restaurant,87.91
2020-09-05,Discretionary Spending,Liquor Store,Wine & Spirits,23.95
2020-09-04,Living Expense,Groceries,Grocery Store,20.22
2020-09-03,Discretionary Spending,Work Lunch & Takeout,Pho Shop,30.38
2020-09-03,Living Expense,Home Supplies,Target,4.34
2020-09-02,Living Expense,Medical & Health,CVS,9.84
2020-09-02,Discretionary Spending,Subscriptions,Amazon web services,1.04
2020-09-02,Discretionary Spending,Subscriptions,PayPal,4.99
2020-09-02,Savings,Investment - Source 1,XYZ Financial Firm,500.0
2020-09-01,Discretionary Spending,Work Lunch & Takeout,Bistro,7.59
2020-09-01,Discretionary Spending,Work Lunch & Takeout,MEALPAL MEALPAL.COM ,48.28
2020-09-01,Living Expense,Home Supplies,Target,59.99
2020-09-01,Living Expense,Home Supplies,Target,40.06
2020-09-01,Monthly Bills,Rent,Check Piad,2000.0
2020-08-30,Living Expense,Groceries,Grocery Store,108.06
2020-08-29,Discretionary Spending,Liquor Store,Cork by Harrison Path,11.72
2020-08-28,Discretionary Spending,Subscriptions,Spotify,15.94
2020-08-27,Discretionary Spending,Work Lunch & Takeout,Domino's Pizza,21.74
2020-08-27,Discretionary Spending,Work Lunch & Takeout,Domino's Pizza,3.31
2020-08-27,Discretionary Spending,Work Lunch & Takeout,"WOK  ON THIRD,  ",22.7
2020-08-27,Monthly Bills,Mobile Phone,Verizon Wireless,84.59
2020-08-26,Discretionary Spending,Work Lunch & Takeout,Bistro,11.43
2020-08-26,Discretionary Spending,Subscriptions,MEDIUM MONTHLY,5.0
2020-08-25,Discretionary Spending,Work Lunch & Takeout,TRI DIM SHANGHAI  ,36.75
2020-08-24,Discretionary Spending,Liquor Store,Wine & Spirits,55.48
2020-08-24,Discretionary Spending,Work Lunch & Takeout,KRUA SIAM INC   ,28.2
2020-08-22,Discretionary Spending,Work Lunch & Takeout,McDonald's,6.67
2020-08-22,Discretionary Spending,Work Lunch & Takeout,Dunkin Donuts,6.15
2020-08-22,Discretionary Spending,Work Lunch & Takeout,Dunkin Donuts,4.63
2020-08-21,Occasional Expense,Electronics,Dri Logitech Orderfind.com,76.21
2020-08-21,Discretionary Spending,Work Lunch & Takeout,M&J BAGEL STORE BAKERY DELANESVILLE ,12.2
2020-08-20,Discretionary Spending,Subscriptions,CRUNCHYROLL,8.49
2020-08-20,Monthly Bills,Internet,SPECTRUM WOODSIDE ,49.99
2020-08-20,Living Expense,Groceries,Grocery Store,127.07
2020-08-20,Living Expense,Medical & Health,CVS,6.69
2020-08-19,Discretionary Spending,Work Lunch & Takeout,Bistro,11.43
2020-08-18,Living Expense,Groceries,Grocery Store,71.14
2020-08-18,Discretionary Spending,Entertainment,NEW PALTZ KAYAKING New Paltz ,145.8
2020-08-17,Living Expense,Laundromat,Landromat,27.5
2020-08-17,Discretionary Spending,Work Lunch & Takeout,"Spice Grill, ",18.99
2020-08-16,Discretionary Spending,Restaurants,HAWTHORNES BEER BOUTIQ PHILADELPHIA PA,19.2
2020-08-16,Discretionary Spending,Work Lunch & Takeout,CHICKEN INSIDER ,10.88
2020-08-16,Discretionary Spending,Restaurants,Cheu Fishtown,71.56
2020-08-15,Discretionary Spending,Restaurants,Café,57.0
2020-08-15,Discretionary Spending,Restaurants,MORGAN'S PIER PHILADELPHIA PA,6.4
2020-08-15,Discretionary Spending,Restaurants,Tradesmans,36.17
2020-08-14,Living Expense,Home Supplies,Staples,26.11
2020-08-14,Monthly Bills,Utilities,ConEd,191.97
2020-08-14,Discretionary Spending,Subscriptions,JAGEX,25.99
2020-08-13,Discretionary Spending,Personal Care,Hair Salon,42.0
2020-08-13,Discretionary Spending,Clothing,Abercrombie & Fitch,71.04
2020-08-13,Living Expense,ATM Fee,ATM Fee,1.0
2020-08-12,Discretionary Spending,Liquor Store,Wine & Spirits,50.05
2020-08-12,Living Expense,Medical & Health,CVS,19.09
2020-08-10,Discretionary Spending,Work Lunch & Takeout,Bistro,7.59
2020-08-10,Savings,Investment - Source 1,XYZ Financial Firm,500.0
2020-08-09,Discretionary Spending,Work Lunch & Takeout,Pizzeria,27.0
2020-08-09,Discretionary Spending,Work Lunch & Takeout,CORNER BAKERY,17.31
2020-08-06,Discretionary Spending,Work Lunch & Takeout,Pho Shop,31.4
2020-08-06,Living Expense,Groceries,Grocery Store,100.93
2020-08-05,Discretionary Spending,Work Lunch & Takeout,Bistro,7.59
2020-08-05,Discretionary Spending,Work Lunch & Takeout,"WOK  ON THIRD,  ",20.7
2020-08-05,Occasional Expense,Electronics,Amazon,81.65
2020-08-03,Discretionary Spending,Subscriptions,PayPal,4.99
2020-08-03,Discretionary Spending,Subscriptions,Amazon web services,1.05
2020-08-02,Discretionary Spending,Liquor Store,LITTLE BROTHERS BEVEFLEMINGTON ,46.87
2020-08-02,Discretionary Spending,Work Lunch & Takeout,McDonald's,21.27
2020-08-01,Living Expense,Transportation,Wawa,26.44
2020-08-01,Living Expense,Transportation,Lyft,11.1
2020-08-01,Discretionary Spending,Work Lunch & Takeout,KRUA SIAM INC   ,19.54
2020-08-01,Discretionary Spending,Clothing,Abercrombie & Fitch,211.39
2020-08-01,Monthly Bills,Rent,Check Piad,2000.0
2020-07-31,Living Expense,Laundromat,Landromat,18.05
2020-07-29,Discretionary Spending,Entertainment,MAGNETO BOARDS -- CA,119.99
2020-07-29,Savings,Investment - Source 2,XYZ Financial Firm,500.0
2020-07-29,Monthly Bills,Mobile Phone,Verizon Wireless,87.07
2020-07-28,Discretionary Spending,Subscriptions,Spotify,15.94
2020-07-28,Living Expense,Medical & Health,CVS,1.31
2020-07-27,Living Expense,Groceries,Grocery Store,12.52
