Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
4/23/2021,Dunkin Donuts,,8.1,debit,Work Lunch & Takeout,,,
4/23/2021,Company - 2,,1500,credit,Paycheck - Source 2,,,
4/20/2021,ConEd,,65.64,debit,Utilities,,,
4/20/2021,Dunkin Donuts,,2.06,debit,Work Lunch & Takeout,,,
4/20/2021,Verizon,,39.99,debit,Internet,,,
4/20/2021,Forever ,,5.38,credit,Clothing,,,
4/20/2021,Forever ,,86.27,debit,Clothing,,,
4/19/2021,Duane Reade,,8.98,debit,Medical & Health,,,
4/19/2021,Dry Cleaners,,15,debit,Laundromat,,,
4/19/2021,Amazon,,32.52,debit,Shopping,,,
4/17/2021,CRUNCHYROLL,,8.49,debit,Subscriptions,,,
4/17/2021,GrubHub - Ma LaLa Chinese,,52.96,debit,Work Lunch & Takeout,,,
4/17/2021,VIA CARAMICO  ,,10,debit,Work Lunch & Takeout,,,
4/16/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
4/16/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
4/16/2021,XYZ Financial Firm,,500,debit,Investment - Source 2,,,
4/16/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
4/16/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
4/15/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
4/15/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
4/15/2021,Company - 1,,1500,credit,Paycheck - Source 1,,,
4/15/2021,Amazon,,9.24,debit,Shopping,,,
4/13/2021,Flowers By Lunelly,,26,debit,Gift,,,
4/13/2021,Sake Bar Hagi ,,50.41,debit,Restaurants,,,
4/13/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
4/12/2021,Grocery Store,,210.23,debit,Groceries,,,
4/12/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
4/12/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
4/11/2021,S & S Calabro Pizzeria,,27.54,debit,Work Lunch & Takeout,,,
4/10/2021,SHOWPLACE,,45.09,debit,Entertainment,,,
4/10/2021,Reichenbach,,182.15,debit,Restaurants,,,
4/10/2021,BIAO SUGAR  ,,6.86,debit,Restaurants,,,
4/10/2021,Sake Bar Hagi ,,133.82,debit,Restaurants,,,
4/9/2021,Dunkin Donuts,,4.71,debit,Work Lunch & Takeout,,,
4/9/2021,VIA CARAMICO  ,,8.66,debit,Work Lunch & Takeout,,,
4/9/2021,Company - 2,,1500,credit,Paycheck - Source 2,,,
4/9/2021,Company - 2,,1500,credit,Paycheck - Source 2,,,
4/8/2021,Ally Interest Paid,,3.1,credit,Interest Income,,,
4/8/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
4/8/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
4/8/2021,Ally Interest Paid,,0.26,credit,Interest Income,,,
4/8/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
4/8/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
4/7/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
4/7/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
4/6/2021,Dollar Tree,,0.54,debit,Gift,,,
4/6/2021,Wine & Spirits,,29.42,debit,Liquor Store,,,
4/5/2021,Wine & Spirits,,19.24,debit,Liquor Store,,,
4/5/2021,XYZ Financial Firm,,500,debit,Investment - Source 2,,,
4/3/2021,ULTA,,45.69,debit,Personal Care,,,
4/2/2021,ULTA,,23.43,debit,Personal Care,,,
4/2/2021,Amazon web services,,1.05,debit,Subscriptions,,,
4/1/2021,Amazon,,20.68,credit,Shopping,,,
4/1/2021,PayPal,,4.99,debit,Subscriptions,,,
4/1/2021,Company - 1,,1500,credit,Paycheck - Source 1,,,
3/30/2021,PayPal,,7,debit,Subscriptions,,,
3/30/2021,Amazon,,49.95,debit,Shopping,,,
3/29/2021,#NAME?,,10.69,debit,Liquor Store,,,
3/29/2021,Café,,1.55,debit,Work Lunch & Takeout,,,
3/29/2021,Verizon Wireless,,84.16,debit,Mobile Phone,,,
3/28/2021,Spotify,,15.94,debit,Subscriptions,,,
3/28/2021,Grocery Store,,94,debit,Groceries,,,
3/26/2021,PIG N WHISTLE ON TH ,,62.35,debit,Restaurants,,,
3/26/2021,Hair Salon,,23.9,debit,Personal Care,,,
3/26/2021,Company - 2,,1500,credit,Paycheck - Source 2,,,
3/26/2021,Amazon,,20.68,debit,Shopping,,,
3/25/2021,ULTA,,69.69,debit,Personal Care,,,
3/25/2021,Sephora,,74.09,debit,Personal Care,,,
3/25/2021, Bagel & Coffee Compa,,5.36,debit,Work Lunch & Takeout,,,
3/25/2021,LAO MA MA LA TANG.  ,,40.72,debit,Restaurants,,,
3/25/2021,MEDIUM MONTHLY,,5,debit,Subscriptions,,,
3/24/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
3/24/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
3/24/2021,XYZ Financial Firm,,500,debit,Investment - Source 1,,,
3/23/2021,Lyft,,29.57,debit,Transportation,,,
3/23/2021,Beer Depot,,27.95,debit,Restaurants,,,
3/22/2021,PORTENO ,,125.41,debit,Restaurants,,,
3/22/2021,Schmackarys,,15,debit,Restaurants,,,
3/22/2021,Verizon,,39.99,debit,Internet,,,
3/22/2021,ConEd,,104.71,debit,Utilities,,,
3/21/2021,Grocery Store,,147.07,debit,Groceries,,,
3/21/2021,HY ATTRACTIONS,,74.04,debit,Entertainment,,,
3/21/2021,CERASELLA  ,,35.24,debit,Work Lunch & Takeout,,,
3/20/2021,METROCARD,,20,debit,Transportation,,,
3/20/2021,Amazon,,7.13,debit,Shopping,,,
3/19/2021,Dunkin Donuts,,2.93,debit,Work Lunch & Takeout,,,
3/19/2021,VIA CARAMICO  ,,9,debit,Work Lunch & Takeout,,,
3/19/2021,GrubHub,,37.38,debit,Work Lunch & Takeout,,,
3/18/2021,CRUNCHYROLL,,8.49,debit,Subscriptions,,,
3/18/2021,Company - 1,,1500,credit,Paycheck - Source 1,,,
3/14/2021,GrubHub,,45.68,debit,Work Lunch & Takeout,,,
3/12/2021,Dunkin Donuts,,2.38,debit,Work Lunch & Takeout,,,
3/12/2021,Company - 2,,1500,credit,Paycheck - Source 2,,,
3/11/2021,SUGAR FREAK ,,45,debit,Restaurants,,,
3/9/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
3/9/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
3/9/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
3/9/2021,XYZ Financial Firm,,500,debit,Investment - Source 2,,,
3/9/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
3/8/2021,Café,,7.2,debit,Work Lunch & Takeout,,,
3/8/2021,Ally Interest Paid,,0.28,credit,Interest Income,,,
3/8/2021,Ally Interest Paid,,2.8,credit,Interest Income,,,
3/8/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
3/8/2021,XYZ Financial Firm,,500,debit,Investment - Source 1,,,
3/8/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
3/8/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
3/7/2021,GrubHub,,72.49,debit,Work Lunch & Takeout,,,
3/6/2021,Grocery Store,,148.03,debit,Groceries,,,
3/6/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
3/6/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
3/6/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
3/5/2021,Suzuki,,13.15,debit,Work Lunch & Takeout,,,
3/5/2021,Dunkin Donuts,,4.33,debit,Work Lunch & Takeout,,,
3/4/2021,Company - 1,,1500,credit,Paycheck - Source 1,,,
3/3/2021,Wine & Spirits,,37.06,debit,Liquor Store,,,
3/3/2021,Amazon web services,,1.04,debit,Subscriptions,,,
3/1/2021,Spotify,,15.94,debit,Subscriptions,,,
3/1/2021,PayPal,,4.99,debit,Subscriptions,,,
3/1/2021,Amazon,,37.74,debit,Shopping,,,
3/1/2021,Cash Back Rewards,,28.91,credit,Cash Back Rewards,,,
3/1/2021,Verizon Wireless,,84.16,debit,Mobile Phone,,,
2/27/2021,Grocery Store,,220.51,debit,Groceries,,,
2/27/2021,Papa John's,,32.37,debit,Work Lunch & Takeout,,,
2/26/2021,Wine & Spirits,,21.76,debit,Liquor Store,,,
2/26/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
2/26/2021,Company - 2,,1500,credit,Paycheck - Source 2,,,
2/26/2021,Amazon,,30.46,debit,Shopping,,,
2/26/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
2/26/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
2/26/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
2/25/2021,MEDIUM MONTHLY,,5,debit,Subscriptions,,,
2/24/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
2/22/2021,Dunkin Donuts,,2.93,debit,Work Lunch & Takeout,,,
2/22/2021,Verizon,,39.99,debit,Internet,,,
2/20/2021,HERO THAI  ,,52.64,debit,Restaurants,,,
2/19/2021,ConEd,,151.2,debit,Utilities,,,
2/18/2021,Company - 1,,1500,credit,Paycheck - Source 1,,,
2/17/2021,XYZ Financial Firm,,500,debit,Investment - Source 2,,,
2/17/2021,XYZ Financial Firm,,500,debit,Investment - Source 1,,,
2/16/2021,RENEWAL MEMBERSHIP FEE,,95,debit,Service Fee,,,
2/16/2021,CRUNCHYROLL,,8.49,debit,Subscriptions,,,
2/16/2021,#NAME?,,1.89,debit,Liquor Store,,,
2/16/2021,Cash Back Rewards,,125,credit,Cash Back Rewards,,,
2/16/2021,XYZ Financial Firm,,500,debit,Investment - Source 1,,,
2/16/2021,Steam Games,,2.12,debit,Entertainment,,,
2/16/2021,JAGEX,,25.99,debit,Shopping,,,
2/14/2021,Cash Back Rewards,,94.4,credit,Cash Back Rewards,,,
2/14/2021,Hair Salon,,41.8,debit,Personal Care,,,
2/13/2021,Grocery Store,,142.36,debit,Groceries,,,
2/12/2021,Grocery Store,,27.28,debit,Groceries,,,
2/12/2021,Company - 2,,1500,credit,Paycheck - Source 2,,,
2/10/2021,Suzuki,,37.2,debit,Work Lunch & Takeout,,,
2/10/2021,Dunkin Donuts,,2.93,debit,Work Lunch & Takeout,,,
2/8/2021,Grocery Store,,38.84,debit,Groceries,,,
2/8/2021,Dunkin Donuts,,1.4,debit,Work Lunch & Takeout,,,
2/8/2021,Amazon,,5.87,credit,Shopping,,,
2/8/2021,Ally Interest Paid,,0.34,credit,Interest Income,,,
2/8/2021,Ally Interest Paid,,3.09,credit,Interest Income,,,
2/6/2021,Amazon,,4.11,debit,Shopping,,,
2/5/2021,CHINA JADE  ,,55.84,debit,Work Lunch & Takeout,,,
2/5/2021,Wine & Spirits,,92.07,debit,Liquor Store,,,
2/5/2021,Amazon,,25.88,debit,Shopping,,,
2/4/2021,Company - 1,,1500,credit,Paycheck - Source 1,,,
2/3/2021,#NAME?,,7.42,debit,Liquor Store,,,
2/3/2021,Amazon web services,,1.04,debit,Subscriptions,,,
2/3/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
2/3/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
2/3/2021,Crandall - Office Chair,,539,debit,Furniture,,,
2/2/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
2/2/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
2/2/2021,XYZ Financial Firm,,500,debit,Investment - Source 2,,,
2/2/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
2/2/2021,Amazon,,107.44,debit,Shopping,,,
2/2/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
2/1/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
2/1/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
2/1/2021,XYZ Financial Firm,,500,debit,Investment - Source 2,,,
2/1/2021,PayPal,,4.99,debit,Subscriptions,,,
1/31/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
1/31/2021,#NAME?,,9.56,debit,Liquor Store,,,
1/31/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
1/30/2021,Grocery Store,,238.08,debit,Groceries,,,
1/29/2021,Dunkin Donuts,,2.93,debit,Work Lunch & Takeout,,,
1/29/2021,Company - 2,,1500,credit,Paycheck - Source 2,,,
1/28/2021,#NAME?,,10.58,debit,Liquor Store,,,
1/28/2021,Spotify,,15.94,debit,Subscriptions,,,
1/28/2021,XYZ Financial Firm,,500,debit,Investment - Source 1,,,
1/27/2021,Café,,9.2,debit,Work Lunch & Takeout,,,
1/27/2021,Enthaice Thai Kitchen,,28.85,debit,Work Lunch & Takeout,,,
1/27/2021,Nordstrom,,37.42,credit,Clothing,,,
1/27/2021,Verizon Wireless,,84.16,debit,Mobile Phone,,,
1/26/2021,Grocery Store,,13.22,debit,Groceries,,,
1/26/2021,METROCARD,,20,debit,Transportation,,,
1/25/2021,Uber.com,,7.96,debit,Transportation,,,
1/25/2021,MEDIUM MONTHLY,,5,debit,Subscriptions,,,
1/25/2021,Amazon,,29.25,debit,Shopping,,,
1/24/2021,#NAME?,,7.49,debit,Liquor Store,,,
1/23/2021,GrubHub,,62.24,debit,Work Lunch & Takeout,,,
1/22/2021,Hair Salon,,12.02,debit,Personal Care,,,
1/22/2021,LAS CATRINAS MEXICAN BAR  ,,47.04,debit,Restaurants,,,
1/21/2021,METROCARD,,20,debit,Transportation,,,
1/21/2021,Company - 1,,1500,credit,Paycheck - Source 1,,,
1/20/2021,#NAME?,,5.32,debit,Liquor Store,,,
1/20/2021,Verizon,,39.99,debit,Internet,,,
1/19/2021,eCheck Deposit,,2400,credit,Income,,,
1/19/2021,IKEA,,69.63,debit,Goods,,,
1/17/2021,CRUNCHYROLL,,8.49,debit,Subscriptions,,,
1/17/2021,Cork by Harrison Path,,23.45,debit,Liquor Store,,,
1/15/2021,METROCARD,,40,debit,Transportation,,,
1/15/2021,Company - 2,,1500,credit,Paycheck - Source 2,,,
1/15/2021,Dunkin Donuts,,4.33,debit,Work Lunch & Takeout,,,
1/14/2021,#NAME?,,9.65,debit,Liquor Store,,,
1/13/2021,DRI*LOGITECH STORE ORDERFIND.COM MN,,141.53,debit,Electronics,,,
1/12/2021,Amazon,,42.99,debit,Shopping,,,
1/12/2021,ConEd,,95.28,debit,Utilities,,,
1/11/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
1/11/2021,Amazon,,23.99,debit,Shopping,,,
1/10/2021,GrubHub,,46.2,debit,Restaurants,,,
1/10/2021,Grocery Store,,266.45,debit,Groceries,,,
1/10/2021,Home Depot,,12.11,debit,Goods,,,
1/8/2021,The Little Beet,,29.83,debit,Restaurants,,,
1/8/2021,Ally Interest Paid,,0.42,credit,Interest Income,,,
1/8/2021,Ally Interest Paid,,1.19,credit,Interest Income,,,
1/8/2021,Amazon,,12.99,debit,Shopping,,,
1/8/2021,Amazon,,33.51,debit,Shopping,,,
1/7/2021,Duane Reade,,3.04,debit,Medical & Health,,,
1/7/2021,Company - 1,,1500,credit,Paycheck - Source 1,,,
1/6/2021,METROCARD,,40,debit,Transportation,,,
1/6/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
1/6/2021,XYZ Financial Firm,,500,debit,Investment - Source 1,,,
1/6/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
1/6/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
1/6/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
1/6/2021,Wine & Spirits,,25.76,debit,Liquor Store,,,
1/6/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
1/6/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
1/6/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
1/5/2021,State Farm,,157.44,debit,Home Insurance,,,
1/5/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
1/5/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
1/5/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
1/5/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
1/5/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
1/5/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
1/5/2021,Amazon,,5.75,debit,Shopping,,,
1/4/2021,Suzuki,,11.15,debit,Work Lunch & Takeout,,,
1/4/2021,JOLLIBEE WOODSIDE WOODSIDE ,,42.45,debit,Work Lunch & Takeout,,,
1/4/2021,Grocery Store,,13.16,debit,Groceries,,,
1/4/2021,Grocery Store,,66.22,debit,Groceries,,,
1/4/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
1/4/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
1/4/2021,PayPal,,4.99,debit,Subscriptions,,,
1/4/2021,PayPal,,5,debit,Subscriptions,,,
1/4/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
1/4/2021,Cash Back Rewards,,25.33,credit,Cash Back Rewards,,,
1/3/2021,#NAME?,,3.98,debit,Liquor Store,,,
1/2/2021,Amazon web services,,1.05,debit,Subscriptions,,,
1/2/2021,King of Falafel & Shawarma,,29.12,debit,Work Lunch & Takeout,,,
12/31/2020,Eye Care,,464,debit,Medical & Health,,,
12/31/2020,Company - 2,,1500,credit,Paycheck - Source 2,,,
12/30/2020,Amazon,,42.38,debit,Shopping,,,
12/30/2020,Mealpal ,,48.28,credit,Work Lunch & Takeout,,,
12/30/2020,Verizon Wireless,,84.04,debit,Mobile Phone,,,
12/29/2020,Grocery Store,,53.66,debit,Groceries,,,
12/29/2020,COPA CABANA PIZZA AND GRI ,,39.31,debit,Work Lunch & Takeout,,,
12/28/2020,Suzuki,,36.15,debit,Work Lunch & Takeout,,,
12/28/2020,Lyft,,27.57,debit,Transportation,,,
12/28/2020,Wine & Spirits,,34.82,debit,Liquor Store,,,
12/28/2020,Lyft,,27.76,debit,Transportation,,,
12/28/2020,Spotify,,15.94,debit,Subscriptions,,,
12/28/2020,Gourmet Deli,,4.16,debit,Work Lunch & Takeout,,,
12/28/2020,CHICKEN INSIDER ,,26.32,debit,Work Lunch & Takeout,,,
12/27/2020,Grocery Store,,9.51,debit,Groceries,,,
12/27/2020,Pho Shop,,16.68,debit,Work Lunch & Takeout,,,
12/27/2020,MEDIUM MONTHLY,,5,debit,Subscriptions,,,
12/26/2020,CORNER BAKERY,,17.94,debit,Restaurants,,,
12/24/2020,Company - 1,,1500,credit,Paycheck - Source 1,,,
12/24/2020,MEALPAL MEALPAL.COM ,,48.28,debit,Work Lunch & Takeout,,,
12/21/2020,Fossil,,148.5,debit,Gift,,,
12/21/2020,"WOK  ON THIRD,  ",,24.3,debit,Work Lunch & Takeout,,,
12/20/2020,SPECTRUM WOODSIDE ,,49.99,debit,Internet,,,
12/20/2020,Burgerfi,,32.13,debit,Work Lunch & Takeout,,,
12/19/2020,Amazon,,168.75,debit,Shopping,,,
12/19/2020,Home Depot,,17.65,debit,Goods,,,
12/19/2020,Krispy Kreme,,4.48,debit,Work Lunch & Takeout,,,
12/18/2020,Gourmet Deli,,5.64,debit,Work Lunch & Takeout,,,
12/18/2020,Eye Care,,109,debit,Medical & Health,,,
12/18/2020,CRUNCHYROLL,,8.49,debit,Subscriptions,,,
12/18/2020,Wine & Spirits,,30.46,debit,Liquor Store,,,
12/18/2020,Company - 2,,1500,credit,Paycheck - Source 2,,,
12/16/2020,XYZ Financial Firm,,500,debit,Investment - Source 1,,,
12/16/2020,ConEd,,112.46,debit,Utilities,,,
12/15/2020,CHINA JADE  ,,41.81,debit,Work Lunch & Takeout,,,
12/15/2020,Grocery Store,,98.83,debit,Groceries,,,
12/14/2020,Domino's Pizza,,14.13,debit,Work Lunch & Takeout,,,
12/14/2020,Gourmet Deli,,6.24,debit,Work Lunch & Takeout,,,
12/13/2020,"Spice Grill, ",,40.36,debit,Work Lunch & Takeout,,,
12/12/2020,Grocery Store,,8.92,debit,Groceries,,,
12/12/2020,Amazon,,11.45,debit,Shopping,,,
12/11/2020,Grocery Store,,36.01,debit,Groceries,,,
12/10/2020,TACOS & TEQUILA ,,36.85,debit,Work Lunch & Takeout,,,
12/10/2020,Ear Nose & Throat,,10.32,debit,Medical & Health,,,
12/10/2020,Company - 1,,1500,credit,Paycheck - Source 1,,,
12/10/2020,XYZ Financial Firm,,500,debit,Investment - Source 1,,,
12/9/2020,Landromat,,39.05,debit,Laundromat,,,
12/9/2020,Kingbell Cleaners & Laundry,,30,debit,Laundromat,,,
12/8/2020,Domino's Pizza,,43.76,debit,Work Lunch & Takeout,,,
12/8/2020,Ally Interest Paid,,0.5,credit,Interest Income,,,
12/8/2020,Ally Interest Paid,,2.05,credit,Interest Income,,,
12/8/2020,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
12/7/2020,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
12/7/2020,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
12/7/2020,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
12/5/2020,Grocery Store,,78.98,debit,Groceries,,,
12/5/2020,CVS,,9.99,debit,Medical & Health,,,
12/5/2020,CHINA JADE  ,,49.13,debit,Work Lunch & Takeout,,,
12/4/2020,Company - 2,,1500,credit,Paycheck - Source 2,,,
12/3/2020,Ollies To Go,,53.16,debit,Work Lunch & Takeout,,,
12/3/2020,Amazon web services,,1.04,debit,Subscriptions,,,
8/1/2021,Check Piad,,2000,debit,Rent,,,
7/1/2021,Check Piad,,2000,debit,Rent,,,
6/1/2021,Check Piad,,2000,debit,Rent,,,
5/1/2021,Check Piad,,2000,debit,Rent,,,
4/1/2021,Check Piad,,2000,debit,Rent,,,
3/1/2021,Check Piad,,2000,debit,Rent,,,
2/1/2021,Check Piad,,2000,debit,Rent,,,
1/1/2021,Check Piad,,2000,debit,Rent,,,
12/1/2020,Check Piad,,2000,debit,Rent,,,
12/2/2020,PayPal,,4.99,debit,Subscriptions,,,
12/1/2020,Café,,7.2,debit,Work Lunch & Takeout,,,
12/1/2020,KRUA SIAM INC   ,,32.38,debit,Work Lunch & Takeout,,,
12/1/2020,MEALPAL MEALPAL.COM ,,48.28,debit,Work Lunch & Takeout,,,
12/1/2020,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
12/1/2020,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
11/30/2020,Grocery Store,,28.82,debit,Groceries,,,
11/30/2020,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
11/30/2020,Nordstrom,,146.17,debit,Clothing,,,
11/30/2020,Abercrombie & Fitch,,47.4,debit,Clothing,,,
11/30/2020,Verizon Wireless,,84.04,debit,Mobile Phone,,,
11/30/2020,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
11/29/2020,Wawa,,24,debit,Transportation,,,
11/29/2020,Uber.com,,9.76,debit,Transportation,,,
11/28/2020,Spotify,,15.94,debit,Subscriptions,,,
11/27/2020,Schmackarys,,35,debit,Work Lunch & Takeout,,,
11/27/2020,CVS,,7.68,debit,Medical & Health,,,
11/25/2020,CVS,,13.39,debit,Medical & Health,,,
11/25/2020,MEDIUM MONTHLY,,5,debit,Subscriptions,,,
11/25/2020,Company - 1,,1500,credit,Paycheck - Source 1,,,
11/24/2020,Express,,34.8,credit,Clothing,,,
11/24/2020,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
11/24/2020,Wine & Spirits,,37.04,debit,Liquor Store,,,
11/24/2020,Bistro,,7.59,debit,Work Lunch & Takeout,,,
11/24/2020,Xi'an Famous Foods,,29.69,debit,Work Lunch & Takeout,,,
11/24/2020,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
11/24/2020,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
11/24/2020,Wire Fee,,20,debit,Service Fee,,,
11/24/2020,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
11/23/2020,Café,,10.25,debit,Work Lunch & Takeout,,,
11/23/2020,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
11/23/2020,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
11/22/2020,Grocery Store,,29.11,debit,Groceries,,,
11/22/2020,The Bagel Mill,,11.61,debit,Work Lunch & Takeout,,,
11/21/2020,Target,,25.93,debit,Home Supplies,,,
11/20/2020,SPECTRUM WOODSIDE ,,49.99,debit,Internet,,,
11/20/2020,Target,,15.11,debit,Home Supplies,,,
11/20/2020,Dentist,,148.5,debit,Medical & Health,,,
11/20/2020,Amazon,,39.83,debit,Shopping,,,
11/20/2020,Amazon,,7.1,debit,Shopping,,,
11/20/2020,Company - 2,,1500,credit,Paycheck - Source 2,,,
11/19/2020,Pizzeria,,27,debit,Work Lunch & Takeout,,,
11/19/2020,Target,,43.53,debit,Home Supplies,,,
11/19/2020,Amazon,,39.95,debit,Shopping,,,
11/18/2020,CRUNCHYROLL,,8.49,debit,Subscriptions,,,
11/18/2020,Application Fee,,20,debit,Service Fee,,,
11/18/2020,Application Fee,,20,debit,Service Fee,,,
11/18/2020,Café,,10.25,debit,Work Lunch & Takeout,,,
11/18/2020,Bistro,,10.34,debit,Work Lunch & Takeout,,,
11/18/2020,"Spice Grill, ",,18.97,debit,Work Lunch & Takeout,,,
11/18/2020,Arriba Arriba Mexican Rest,,66.46,debit,Restaurants,,,
11/17/2020,Grocery Store,,85.37,debit,Groceries,,,
11/16/2020,Landromat,,32.75,debit,Laundromat,,,
11/16/2020,JAGEX,,25.99,debit,Subscriptions,,,
11/15/2020,Wine & Spirits,,36.02,debit,Liquor Store,,,
11/15/2020,Uber.com,,24.95,debit,Transportation,,,
11/15/2020,Uber.com,,3,debit,Transportation,,,
11/15/2020,Uber.com,,11.72,debit,Transportation,,,
11/14/2020,Ollies To Go,,50.74,debit,Work Lunch & Takeout,,,
11/13/2020,Wine & Spirits,,120,debit,Liquor Store,,,
11/13/2020,ConEd,,102.36,debit,Utilities,,,
11/12/2020,Company - 1,,1500,credit,Paycheck - Source 1,,,
11/11/2020,"WOK  ON THIRD,  ",,21.25,debit,Work Lunch & Takeout,,,
11/10/2020,XYZ Financial Firm,,500,debit,Investment - Source 2,,,
11/10/2020,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
11/10/2020,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
11/10/2020,XYZ Financial Firm,,500,debit,Investment - Source 1,,,
11/9/2020,Grocery Store,,27.41,debit,Groceries,,,
11/9/2020,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
11/9/2020,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
11/9/2020,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
11/9/2020,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
11/8/2020,Grocery Store,,15.99,debit,Groceries,,,
11/8/2020,Uber.com,,14.02,debit,Transportation,,,
11/8/2020,Ally Interest Paid,,3.2,credit,Interest Income,,,
11/8/2020,Ally Interest Paid,,0.36,credit,Interest Income,,,
11/7/2020,Grocery Store,,64.46,debit,Groceries,,,
11/7/2020,SAKE KAWA.   ,,56.45,debit,Restaurants,,,
